Student_ID,Age,Major,Primary_AI_Tool,Task_Frequency_Daily,Main_Usage_Case,GPA_Baseline,GPA_Post_AI,Time_Saved_Hours_Weekly,AI_Ethics_Concern,Career_Confidence_Score
STU-6019,23,Software Engineering,Gemini Pro,1,Code Debugging,2.62,2.62,9,Medium,3
STU-6962,22,Modern History,GitHub Copilot,3,Essay Drafting,3.99,4.0,7,Medium,4
STU-2338,18,Data Science,Perplexity,2,Literature Review,2.57,2.57,15,High,7
STU-1380,19,Biology,Claude 3.5,5,Essay Drafting,2.67,2.87,12,Low,5
STU-1837,19,Biology,ChatGPT-4o,10,Code Debugging,3.65,3.85,5,High,9
STU-0052,19,Software Engineering,ChatGPT-4o,4,Essay Drafting,3.21,3.41,8,Medium,4
STU-4953,19,Business Administration,GitHub Copilot,1,Exam Prep,3.87,3.97,7,Low,1
STU-1723,20,Fine Arts,Perplexity,3,Exam Prep,3.18,3.08,2,Medium,9
STU-5100,20,Fine Arts,ChatGPT-4o,1,Literature Review,3.25,3.35,13,Medium,8
STU-7291,19,Fine Arts,GitHub Copilot,5,Exam Prep,3.43,3.33,10,Medium,3
STU-9918,20,Fine Arts,GitHub Copilot,2,Essay Drafting,3.32,3.42,8,High,4
STU-1753,24,Software Engineering,Claude 3.5,4,Essay Drafting,2.93,3.23,6,Low,10
STU-6394,23,Modern History,ChatGPT-4o,1,Code Debugging,3.55,3.75,6,Low,4
STU-1374,18,Biology,GitHub Copilot,5,Essay Drafting,3.9,4.0,14,Low,3
STU-1277,18,Fine Arts,Claude 3.5,4,Exam Prep,3.88,3.88,5,Low,5
STU-5643,23,Data Science,GitHub Copilot,4,Brainstorming,3.99,4.0,15,High,9
STU-3711,21,Modern History,ChatGPT-4o,4,Code Debugging,3.32,3.32,5,Low,9
STU-9571,20,Business Administration,Perplexity,5,Code Debugging,2.66,2.7600000000000002,13,High,5
STU-6603,23,Biology,GitHub Copilot,10,Code Debugging,3.14,3.14,2,High,10
STU-4838,19,Biology,GitHub Copilot,1,Essay Drafting,3.54,3.64,6,High,3
STU-4860,21,Software Engineering,GitHub Copilot,5,Brainstorming,2.56,2.46,3,High,1
STU-0499,19,Biology,Gemini Pro,10,Brainstorming,3.03,3.03,2,Low,5
